trade_date_id,create_order_date,buy_ticket,sell_ticket,account_balance,account_equity,account_margin,current_market_price,buy_volume,sell_volume,buy_at,sell_at,first_buy_at,first_sell_at,buy_status,sell_status,fib_number,next_fib_number,next_volume,next_buy_at,next_sell_at,market_direction,close_all_order_type,max_buy_direction_price,max_sell_direction_price,close_all_when_market_reverse_price_at,is_first_order_of_sequence
151123012213,2023-11-15 01:22:13.572242,524131148,524131153,6132.26,6132.26,1000.0,1.37157,0.01,0.01,1.37158,1.37158,1.37158,1.37158,close,close,1,1.0,0.01,1.37358,1.36958,,,1.37158,1.37158,,True
151123032215,2023-11-15 03:22:15.789926,524193661,524193663,6133.66,6131.9,1000.0,1.36922,0.01,0.01,1.36922,1.36922,1.37158,1.37158,close,close,1,2.0,0.02,1.37122,1.36722,sell,buy,1.36922,1.36866,1.3678716,False
151123091639,2023-11-15 09:16:39.021608,524313965,524313966,6131.62,6131.32,0.0,1.36978,0.01,0.01,1.36978,1.36978,1.36978,1.36978,close,close,1,1.0,0.01,1.37178,1.36778,,,1.36978,1.36978,,True
151123223214,2023-11-15 22:32:14.308596,524938317,524938330,6151.0,6130.91,2171.47,1.36642,0.01,0.01,1.36641,1.36636,1.37158,1.37158,close,close,1,2.0,0.02,1.36841,1.36436,sell,buy,1.36641,1.36616,1.3646966,False
151123225240,2023-11-15 22:52:40.704027,524969257,524969268,6145.66,6127.59,4416.88,1.36607,0.01,0.01,1.36608,1.36608,1.36608,1.36608,close,close,1,1.0,0.01,1.36808,1.36408,,,1.36608,1.36608,,True
161123022558,2023-11-16 02:25:58.959769,525180622,525180624,6130.12,6128.23,1000.0,1.36852,0.01,0.01,1.36852,1.36852,1.37158,1.37158,close,close,1,2.0,0.02,1.37052,1.36652,buy,sell,1.36852,1.36852,1.369438,False
161123092651,2023-11-16 09:26:51.119791,525345886,525345889,6125.49,6125.35,0.0,1.37075,0.01,0.01,1.37074,1.37071,1.37074,1.37071,close,close,1,1.0,0.01,1.37274,1.36871,,,1.37074,1.37071,,True
161123192658,2023-11-16 19:26:58.757485,525689648,525689652,6125.44,6123.9,1000.0,1.37279,0.01,0.01,1.37279,1.37273,1.37158,1.37158,close,close,1,2.0,0.02,1.37479,1.37073,buy,sell,1.37279,1.37273,1.372427,False
161123223157,2023-11-16 22:31:57.344886,525915621,525915634,6125.22,6122.12,1000.0,1.37364,0.01,0.01,1.37364,1.37364,1.37364,1.37364,close,close,1,1.0,0.01,1.37564,1.37164,,,1.37364,1.37364,,True
161123233204,2023-11-16 23:32:04.926087,525986941,525986958,6128.98,6118.41,4420.07,1.37582,0.01,0.01,1.37579,1.3757,1.37158,1.37158,close,close,1,2.0,0.02,1.37779,1.3737,buy,sell,1.3772,1.3757,1.3756826,False
171123094201,2023-11-17 09:42:01.552599,526258880,526258950,6125.24,6118.65,0.0,1.37545,0.01,0.01,1.37545,1.37545,1.37545,1.37545,close,close,1,1.0,0.01,1.37745,1.37345,,,1.37545,1.37545,,True
171123171205,2023-11-17 17:12:05.160167,526531217,526531287,6119.18,6117.4,1000.0,1.3731,0.01,0.01,1.3731,1.3731,1.37158,1.37158,close,close,1,2.0,0.02,1.3751,1.3711,sell,buy,1.3731,1.37218,1.372342,False
171123185917,2023-11-17 18:59:17.508758,526603836,526603845,6116.32,6115.84,0.0,1.3728,0.02,0.02,1.3728,1.3728,1.3728,1.3728,open,open,1,1.0,0.02,1.3748,1.3708,,,1.3728,1.3728,,True
